q1,v1,q2,v2,cost
2.748893571891069,0.0,2.670353755551324,-1.0,1.6813484488154777
2.748893571891069,0.0,2.670353755551324,0.0,0.5946867472561076
2.748893571891069,0.0,2.670353755551324,1.0,0.572673588995001
2.748893571891069,0.0,2.670353755551324,2.0,1.808755029212499
2.748893571891069,0.0,2.670353755551324,3.0,6.684896069596239
2.748893571891069,0.0,2.670353755551324,4.0,17.343218023936778
2.748893571891069,0.0,2.670353755551324,5.0,35.131289100818144
2.748893571891069,0.0,2.670353755551324,6.0,61.91767843652709
2.748893571891069,0.0,2.670353755551324,7.0,113.01269115343023
2.748893571891069,0.0,2.748893571891069,-2.0,20.30673394745264
2.748893571891069,0.0,2.748893571891069,-1.0,1.4863054345195543
2.748893571891069,0.0,2.748893571891069,0.0,0.549684387323592
2.748893571891069,0.0,2.748893571891069,1.0,0.5667642520804476
2.748893571891069,0.0,2.748893571891069,2.0,1.9499106985863106
2.748893571891069,0.0,2.748893571891069,3.0,7.298971974473752
2.748893571891069,0.0,2.748893571891069,4.0,18.538354710588038
2.748893571891069,0.0,2.748893571891069,5.0,37.18439111198686
2.748893571891069,0.0,2.748893571891069,6.0,65.15862939911342
2.748893571891069,0.0,2.748893571891069,7.0,140.13936544984713
2.748893571891069,0.0,2.827433388230814,-3.0,42.89525746226189
2.748893571891069,0.0,2.827433388230814,-2.0,16.02429594047431
2.748893571891069,0.0,2.827433388230814,-1.0,1.3338296613275786
2.748893571891069,0.0,2.827433388230814,0.0,0.509011788745677
2.748893571891069,0.0,2.827433388230814,1.0,0.5683068387018864
2.748893571891069,0.0,2.827433388230814,2.0,2.133490759519671
2.748893571891069,0.0,2.827433388230814,3.0,7.967035109250253
2.748893571891069,0.0,2.827433388230814,4.0,19.840188676362338
2.748893571891069,0.0,2.827433388230814,5.0,39.520007623289075
2.748893571891069,0.0,2.827433388230814,6.0,69.23339415229407
2.748893571891069,0.0,2.9059732045705586,-3.0,36.08534831975225
2.748893571891069,0.0,2.9059732045705586,-2.0,6.205259599157959
2.748893571891069,0.0,2.9059732045705586,-1.0,1.2141197543767002
2.748893571891069,0.0,2.9059732045705586,0.0,0.4722429065130286
2.748893571891069,0.0,2.9059732045705586,1.0,0.5774280772431997
2.748893571891069,0.0,2.9059732045705586,2.0,2.365408127413454
2.748893571891069,0.0,2.9059732045705586,3.0,8.683446736923026
2.748893571891069,0.0,2.9059732045705586,4.0,21.266884617387056
2.748893571891069,0.0,2.9059732045705586,5.0,42.26530474525146
2.748893571891069,0.0,2.9059732045705586,6.0,75.34260704242979
2.748893571891069,0.0,2.9845130209103035,-3.0,30.577277868999275
2.748893571891069,0.0,2.9845130209103035,-2.0,4.881725038931493
2.748893571891069,0.0,2.9845130209103035,-1.0,1.113479082033294
2.748893571891069,0.0,2.9845130209103035,0.0,0.4392822420992959
2.748893571891069,0.0,2.9845130209103035,1.0,0.5945098556346735
2.748893571891069,0.0,2.9845130209103035,2.0,2.6464784671869572
2.748893571891069,0.0,2.9845130209103035,3.0,9.451275862753867
2.748893571891069,0.0,2.9845130209103035,4.0,22.838391468040523
2.748893571891069,0.0,2.9845130209103035,5.0,45.58162346633491
2.748893571891069,0.0,2.9845130209103035,6.0,82.857629371465
